1;de;1;/;Bitte beachten Sie: 6-Fuß Säule mit geteilter Platte lieferfähig ab Mai
1;en;1;/;Please note: 6-leg column with split top ready to be delivered from May on
1;fr;1;/;Attention: 6-Pied colonne avec plateau fractionné livrable à partir de mai
1;nl;1;/;Let op: 6-poot zuil met gedeelde blad klaar om te worden geleverd vanaf mei
2;de;1;/;Bitte beachten Sie: A-Fuß Gestelldesign lieferfähig ab Juli
2;en;1;/;Please note: A-leg frame design ready to be delivered from July on
2;fr;1;/;Attention: Pied-A design de piétement livrable à partir de juillet
2;nl;1;/;Let op: A-poot ondersteldesign klaar om te worden geleverd vanaf juli
3;de;1;/;Bitte denken Sie auch an Kabelwanne oder Kabelklammern
3;en;1;/;Please mind cable tray or cable clips
3;fr;1;/;Veuillez penser aux goulottes de câblage ou pinces pour câbles
3;nl;1;/;Denkt u ook nog aan een kabelgoot of aan kabelklemmen
4;de;1;/;Für Tische mit Tiefe 700-1000 mm
4;de;2;/;Montage unter Tischplatte, bei Tischbreite 1400 mm Montage an Konsolen.
4;de;3;/;Nicht einsetzbar bei Tischbreite 800 mm.
4;de;4;/;Bei Tischbreite 1600 mm keine Schiebeplatte möglich.
4;en;1;/;For desks with depth 700-1000 mm
4;en;2;/;Mounted under desk top, in case of desk width 1400 mm mounted to consoles.
4;en;3;/;Not applicable to desk width 800 mm.
4;en;4;/;With desk width 1600 mm sliding top not possible.
4;fr;1;/;Pour tables de profondeur 700-1000 mm
4;fr;2;/;Montage sous le plateau de table, en cas de largeur de table 1400 mm montage aux consoles.
4;fr;3;/;Pas utilisable en cas de largeur de table 800 mm.
4;fr;4;/;Avec largeur de table 1600 mm plateau coulissant est pas possible.
4;nl;1;/;Voor tafels met diepte 700-1000 mm
4;nl;2;/;Montage onder tafelblad, met tafelbreedte 1400 mm montage aan consolen.
4;nl;3;/;Niet inzetbaar voor tafelbreedte 800 mm.
4;nl;4;/;Met tafelbreedte 1600 mm schuifblad niet mogelijk.
5;de;1;/;Bitte beachten Sie: runde Motorsäulen in Chrom lieferfähig ab Juli
5;en;1;/;Please note: round motorised columns in chrome ready to be delivered from July on
5;fr;1;/;Attention: Colonnes rondes motorisées en chrome livrable à partir de juillet
5;nl;1;/;Let op: ronde motorzuilen in chroom klaar om te worden geleverd vanaf juli
6;de;1;/;vorbehaltlich technischer Klärung
6;en;1;/;subject to technical review
6;fr;1;/;sous réserve de vérification technique
6;nl;1;/;onder voorbehoud technische proef
